Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
26 02 23,00:59:31,cuarto,7.727552%,35%,23C
26 02 23,00:59:38,sala,56%,47.90%,23.20C
26 02 23,00:59:38,cuarto,7.825953%,35%,23C
26 02 23,00:59:45,sala,56%,47.80%,23.10C
26 02 23,00:59:45,cuarto,7.825953%,35%,23C
26 02 23,00:59:53,sala,56%,47.90%,23.20C
26 02 23,00:59:53,cuarto,7.973555%,35%,23C
26 02 23,01:00:00,sala,56%,47.90%,23.10C
26 02 23,01:00:00,cuarto,7.53075%,35%,23C
26 02 23,01:00:36,sala,56%,48.10%,23.20C
26 02 23,01:00:36,cuarto,7.825953%,35%,23C
26 02 23,01:05:13,sala,56%,48.00%,23.30C
26 02 23,01:05:13,cuarto,7.825953%,35%,23C
26 02 23,01:10:11,sala,56%,47.60%,23.30C
26 02 23,01:10:11,cuarto,7.825953%,35%,23C
26 02 23,01:15:09,sala,56%,47.40%,23.40C
26 02 23,01:15:09,cuarto,7.825953%,35%,23C
26 02 23,01:20:08,sala,56%,48.00%,23.50C
26 02 23,01:20:08,cuarto,7.825953%,34%,23C
26 02 23,01:25:13,sala,56%,47.80%,23.40C
26 02 23,01:25:13,cuarto,7.727552%,34%,23C
26 02 23,01:30:11,sala,56%,48.40%,23.40C
26 02 23,01:30:11,cuarto,7.678352%,35%,23C
26 02 23,01:35:10,sala,56%,48.10%,23.40C
26 02 23,01:35:10,cuarto,7.825953%,35%,23C
26 02 23,01:40:08,sala,56%,47.90%,23.30C
26 02 23,01:40:08,cuarto,7.825953%,34%,23C
26 02 23,01:45:13,sala,56%,48.00%,23.30C
26 02 23,01:45:13,cuarto,7.825953%,34%,23C
26 02 23,01:50:12,sala,56%,47.80%,23.30C
26 02 23,01:50:12,cuarto,8.268758%,33%,23C
26 02 23,01:55:10,sala,56%,47.00%,23.20C
26 02 23,01:55:10,cuarto,7.776753%,34%,23C
26 02 23,02:00:16,sala,56%,46.60%,23.30C
26 02 23,02:00:16,cuarto,7.825953%,34%,23C
26 02 23,02:05:07,sala,56%,46.50%,23.30C
26 02 23,02:05:07,cuarto,7.825953%,33%,23C
26 02 23,02:10:12,sala,56%,47.40%,23.30C
26 02 23,02:10:12,cuarto,7.825953%,33%,23C
26 02 23,02:15:10,sala,56%,47.20%,23.20C
26 02 23,02:15:10,cuarto,7.875154%,33%,23C
26 02 23,02:20:09,sala,56%,47.30%,23.20C
26 02 23,02:20:09,cuarto,7.825953%,33%,23C
26 02 23,02:25:14,sala,56%,46.60%,23.20C
26 02 23,02:25:14,cuarto,7.776753%,32%,22C
26 02 23,02:30:13,sala,56%,46.80%,23.20C
26 02 23,02:30:13,cuarto,7.875154%,33%,23C
26 02 23,02:35:11,sala,56%,46.80%,23.10C
26 02 23,02:35:11,cuarto,7.875154%,33%,23C
26 02 23,02:40:09,sala,56%,46.60%,23.10C
26 02 23,02:40:09,cuarto,8.268758%,32%,23C
26 02 23,02:45:07,sala,56%,46.80%,23.10C
26 02 23,02:45:07,cuarto,8.071956%,33%,23C
26 02 23,02:50:13,sala,56%,46.50%,23.10C
26 02 23,02:50:13,cuarto,8.121156%,32%,23C
26 02 23,02:55:11,sala,56%,46.70%,23.10C
26 02 23,02:55:11,cuarto,7.973555%,32%,22C
26 02 23,03:00:09,sala,56%,46.80%,23.10C
26 02 23,03:00:09,cuarto,8.268758%,32%,22C
26 02 23,03:05:30,sala,56%,46.50%,23.10C
26 02 23,03:05:30,cuarto,7.875154%,32%,22C
26 02 23,03:10:13,sala,56%,46.50%,23.00C
26 02 23,03:10:13,cuarto,7.825953%,33%,22C
26 02 23,03:15:12,sala,56%,46.70%,23.10C
26 02 23,03:15:12,cuarto,8.317958%,32%,22C
26 02 23,03:20:10,sala,56%,46.70%,23.10C
26 02 23,03:20:10,cuarto,8.121156%,32%,23C
26 02 23,03:25:15,sala,56%,46.70%,23.10C
26 02 23,03:25:15,cuarto,7.973555%,32%,22C
26 02 23,03:30:14,sala,56%,46.60%,23.10C
26 02 23,03:30:14,cuarto,7.825953%,32%,22C
26 02 23,03:35:12,sala,56%,46.30%,23.00C
26 02 23,03:35:12,cuarto,8.071956%,33%,22C
26 02 23,03:40:10,sala,56%,46.30%,23.00C
26 02 23,03:40:10,cuarto,8.268758%,33%,22C
26 02 23,03:45:08,sala,56%,46.50%,23.00C
26 02 23,03:45:08,cuarto,7.875154%,33%,22C
26 02 23,03:50:14,sala,56%,46.20%,23.00C
26 02 23,03:50:14,cuarto,8.46556%,33%,22C
26 02 23,03:55:12,sala,56%,45.80%,23.00C
26 02 23,03:55:12,cuarto,8.170357%,33%,22C
26 02 23,04:00:11,sala,56%,45.80%,22.90C
26 02 23,04:00:11,cuarto,8.170357%,33%,22C
26 02 23,04:05:09,sala,56%,46.20%,22.90C
26 02 23,04:05:09,cuarto,8.022756%,33%,22C
26 02 23,04:10:07,sala,56%,46.20%,22.90C
26 02 23,04:10:07,cuarto,7.825953%,34%,22C
26 02 23,04:15:13,sala,56%,46.40%,22.80C
26 02 23,04:15:13,cuarto,8.121156%,33%,22C
26 02 23,04:20:11,sala,56%,46.00%,22.80C
26 02 23,04:20:11,cuarto,7.825953%,33%,22C
26 02 23,04:25:09,sala,56%,46.50%,22.80C
26 02 23,04:25:09,cuarto,8.268758%,33%,22C
26 02 23,04:30:08,sala,56%,46.20%,22.80C
26 02 23,04:30:08,cuarto,8.268758%,33%,22C
26 02 23,04:35:13,sala,56%,46.20%,22.70C
26 02 23,04:35:13,cuarto,7.973555%,33%,22C
26 02 23,04:40:11,sala,56%,46.40%,22.70C
26 02 23,04:40:11,cuarto,8.367159%,34%,22C
26 02 23,04:45:10,sala,56%,46.30%,22.70C
26 02 23,04:45:10,cuarto,8.367159%,32%,21C
26 02 23,04:50:15,sala,56%,46.20%,22.70C
26 02 23,04:50:15,cuarto,8.662362%,33%,21C
26 02 23,04:55:13,sala,56%,46.40%,22.70C
26 02 23,04:55:13,cuarto,8.317958%,34%,21C
26 02 23,05:00:12,sala,56%,46.20%,22.60C
26 02 23,05:00:12,cuarto,8.170357%,34%,21C
26 02 23,05:05:10,sala,56%,46.10%,22.70C
26 02 23,05:05:10,cuarto,8.317958%,34%,21C
26 02 23,05:10:08,sala,56%,46.00%,22.60C
26 02 23,05:10:08,cuarto,8.367159%,33%,21C
26 02 23,05:15:14,sala,56%,45.90%,22.60C
26 02 23,05:15:14,cuarto,8.367159%,33%,21C
26 02 23,05:20:12,sala,56%,46.10%,22.60C
26 02 23,05:20:12,cuarto,8.46556%,34%,21C
26 02 23,05:25:10,sala,56%,46.20%,22.60C
26 02 23,05:25:10,cuarto,8.711562%,34%,21C
26 02 23,05:30:09,sala,56%,46.20%,22.60C
26 02 23,05:30:09,cuarto,8.563961%,34%,21C
26 02 23,05:35:07,sala,56%,46.10%,22.60C
26 02 23,05:35:07,cuarto,8.51476%,34%,21C
26 02 23,05:40:13,sala,56%,46.20%,22.50C
26 02 23,05:40:13,cuarto,8.662362%,34%,21C
26 02 23,05:45:11,sala,56%,46.30%,22.50C
26 02 23,05:45:11,cuarto,8.760762%,35%,21C
26 02 23,05:50:24,sala,56%,46.30%,22.50C
26 02 23,05:50:24,cuarto,8.563961%,35%,21C
26 02 23,05:55:07,sala,56%,46.20%,22.40C
26 02 23,05:55:07,cuarto,8.170357%,35%,21C
26 02 23,06:00:13,sala,56%,46.40%,22.40C
26 02 23,06:00:13,cuarto,8.367159%,35%,21C
26 02 23,06:05:11,sala,56%,46.50%,22.40C
26 02 23,06:05:11,cuarto,8.416359%,35%,21C
26 02 23,06:10:09,sala,55%,46.40%,22.40C
26 02 23,06:10:09,cuarto,8.367159%,35%,21C
26 02 23,06:15:15,sala,55%,46.70%,22.40C
26 02 23,06:15:15,cuarto,8.760762%,35%,21C
26 02 23,06:20:21,sala,55%,46.70%,22.30C
26 02 23,06:20:21,cuarto,8.760762%,36%,21C
26 02 23,06:25:26,sala,55%,46.50%,22.30C
26 02 23,06:25:26,cuarto,8.416359%,36%,21C
26 02 23,06:30:10,sala,56%,47.00%,22.30C
26 02 23,06:30:10,cuarto,8.908364%,36%,21C
26 02 23,06:35:08,sala,56%,46.80%,22.30C
26 02 23,06:35:08,cuarto,8.170357%,36%,21C
26 02 23,06:40:14,sala,56%,46.80%,22.20C
26 02 23,06:40:14,cuarto,8.46556%,36%,21C
26 02 23,06:45:12,sala,56%,46.80%,22.20C
26 02 23,06:45:12,cuarto,8.613161%,36%,21C
26 02 23,06:50:10,sala,56%,47.00%,22.20C
26 02 23,06:50:10,cuarto,8.46556%,36%,21C
26 02 23,06:55:09,sala,55%,47.00%,22.20C
26 02 23,06:55:09,cuarto,8.563961%,36%,21C
26 02 23,07:00:07,sala,56%,46.80%,22.20C
26 02 23,07:00:07,cuarto,8.859163%,36%,21C
26 02 23,07:05:12,sala,56%,46.90%,22.20C
26 02 23,07:05:12,cuarto,8.711562%,37%,21C
26 02 23,07:10:11,sala,56%,46.90%,22.10C
26 02 23,07:10:11,cuarto,8.662362%,37%,21C
26 02 23,07:15:09,sala,56%,46.90%,22.10C
26 02 23,07:15:09,cuarto,8.809963%,36%,21C
26 02 23,07:20:14,sala,55%,46.80%,22.10C
26 02 23,07:20:14,cuarto,8.51476%,36%,21C
26 02 23,07:25:13,sala,55%,46.80%,22.10C
26 02 23,07:25:13,cuarto,8.859163%,36%,21C
26 02 23,07:30:11,sala,56%,46.70%,22.10C
26 02 23,07:30:11,cuarto,8.613161%,36%,21C
26 02 23,07:35:09,sala,56%,46.80%,22.10C
26 02 23,07:35:09,cuarto,8.46556%,36%,21C
26 02 23,07:40:15,sala,55%,46.80%,22.00C
26 02 23,07:40:15,cuarto,8.51476%,36%,21C
26 02 23,07:45:13,sala,56%,47.20%,22.00C
26 02 23,07:45:13,cuarto,8.613161%,36%,21C
26 02 23,07:50:11,sala,55%,47.20%,22.00C
26 02 23,07:50:11,cuarto,8.662362%,36%,21C
26 02 23,07:55:10,sala,55%,47.10%,22.00C
26 02 23,07:55:10,cuarto,8.859163%,35%,21C
26 02 23,08:00:08,sala,56%,47.10%,22.00C
26 02 23,08:00:08,cuarto,8.760762%,36%,21C
26 02 23,08:05:13,sala,55%,47.50%,22.00C
26 02 23,08:05:13,cuarto,8.957564%,36%,21C
26 02 23,08:10:12,sala,55%,47.20%,22.00C
26 02 23,08:10:12,cuarto,8.416359%,35%,21C
26 02 23,08:15:10,sala,55%,47.00%,21.90C
26 02 23,08:15:10,cuarto,8.662362%,36%,21C
26 02 23,08:20:08,sala,55%,47.20%,22.00C
26 02 23,08:20:08,cuarto,8.908364%,36%,21C
26 02 23,08:25:07,sala,55%,47.10%,22.00C
26 02 23,08:25:07,cuarto,8.809963%,36%,21C
26 02 23,08:30:12,sala,55%,47.50%,22.00C
26 02 23,08:30:12,cuarto,8.563961%,36%,21C
26 02 23,08:35:10,sala,55%,47.20%,22.00C
26 02 23,08:35:10,cuarto,8.563961%,35%,21C
26 02 23,08:40:16,sala,55%,47.30%,22.10C
26 02 23,08:40:16,cuarto,8.563961%,36%,22C
26 02 23,08:45:22,sala,55%,47.40%,22.10C
26 02 23,08:45:22,cuarto,8.46556%,36%,22C
26 02 23,08:50:13,sala,55%,47.00%,22.10C
26 02 23,08:50:13,cuarto,8.613161%,35%,21C
26 02 23,08:55:11,sala,55%,47.30%,22.20C
26 02 23,08:55:11,cuarto,8.51476%,36%,22C
26 02 23,09:00:09,sala,55%,47.60%,22.20C
26 02 23,09:00:09,cuarto,8.367159%,36%,22C
26 02 23,09:05:15,sala,55%,47.80%,22.20C
26 02 23,09:05:15,cuarto,8.317958%,36%,22C
26 02 23,09:10:13,sala,55%,47.80%,22.20C
26 02 23,09:10:13,cuarto,8.563961%,36%,22C
26 02 23,09:15:11,sala,55%,47.80%,22.30C
26 02 23,09:15:11,cuarto,8.022756%,37%,22C
26 02 23,09:20:09,sala,55%,47.80%,22.30C
26 02 23,09:20:09,cuarto,8.46556%,37%,22C
26 02 23,09:25:08,sala,55%,48.10%,22.20C
26 02 23,09:25:08,cuarto,8.859163%,37%,22C
26 02 23,09:30:13,sala,55%,48.00%,22.20C
26 02 23,09:30:13,cuarto,8.317958%,37%,22C
26 02 23,09:35:12,sala,55%,48.00%,22.20C
26 02 23,09:35:12,cuarto,8.022756%,37%,22C
26 02 23,09:40:17,sala,55%,48.00%,22.20C
26 02 23,09:40:17,cuarto,8.268758%,38%,22C
26 02 23,09:45:08,sala,56%,48.90%,22.30C
26 02 23,09:45:08,cuarto,8.662362%,38%,22C
26 02 23,09:50:14,sala,55%,48.90%,22.30C
26 02 23,09:50:14,cuarto,8.46556%,37%,22C
26 02 23,09:55:12,sala,55%,48.80%,22.30C
26 02 23,09:55:12,cuarto,8.268758%,38%,22C
26 02 23,10:00:18,sala,55%,48.30%,22.30C
26 02 23,10:00:18,cuarto,8.51476%,38%,22C
26 02 23,10:05:16,sala,55%,48.70%,22.30C
26 02 23,10:05:16,cuarto,8.662362%,38%,22C
26 02 23,10:10:07,sala,55%,48.80%,22.40C
26 02 23,10:10:07,cuarto,8.613161%,37%,22C
26 02 23,10:15:12,sala,55%,48.50%,22.30C
26 02 23,10:15:12,cuarto,8.760762%,38%,22C
26 02 23,10:20:11,sala,55%,48.70%,22.40C
26 02 23,10:20:11,cuarto,8.563961%,38%,22C
26 02 23,10:25:09,sala,55%,49.10%,22.40C
26 02 23,10:25:09,cuarto,8.170357%,38%,22C
26 02 23,10:30:22,sala,55%,48.90%,22.50C
26 02 23,10:30:22,cuarto,8.367159%,38%,22C
26 02 23,10:35:13,sala,55%,48.80%,22.60C
26 02 23,10:35:13,cuarto,7.825953%,38%,22C
26 02 23,10:40:11,sala,55%,48.90%,22.50C
26 02 23,10:40:11,cuarto,8.268758%,38%,22C
26 02 23,10:45:09,sala,55%,48.80%,22.50C
26 02 23,10:45:09,cuarto,8.268758%,38%,22C
26 02 23,10:50:08,sala,55%,49.00%,22.60C
26 02 23,10:50:08,cuarto,8.071956%,38%,22C
26 02 23,10:55:13,sala,55%,48.90%,22.70C
26 02 23,10:55:13,cuarto,7.924354%,37%,23C
26 02 23,11:00:11,sala,55%,48.40%,22.70C
26 02 23,11:00:11,cuarto,7.924354%,38%,23C
26 02 23,11:05:10,sala,55%,48.50%,22.80C
26 02 23,11:05:10,cuarto,8.071956%,36%,23C
26 02 23,11:10:08,sala,55%,48.70%,22.80C
26 02 23,11:10:08,cuarto,8.022756%,35%,23C
26 02 23,11:15:13,sala,55%,48.10%,22.80C
26 02 23,11:15:13,cuarto,8.170357%,36%,23C
26 02 23,11:20:12,sala,55%,48.10%,22.80C
26 02 23,11:20:12,cuarto,8.367159%,36%,23C
26 02 23,11:25:10,sala,55%,47.70%,22.70C
26 02 23,11:25:10,cuarto,8.317958%,36%,23C
26 02 23,11:30:16,sala,55%,47.90%,22.80C
26 02 23,11:30:16,cuarto,8.071956%,36%,23C
26 02 23,11:35:07,sala,55%,48.20%,22.80C
26 02 23,11:35:07,cuarto,8.071956%,36%,23C
26 02 23,11:40:12,sala,55%,47.90%,22.90C
26 02 23,11:40:12,cuarto,8.46556%,36%,23C
26 02 23,11:45:10,sala,55%,47.70%,22.90C
26 02 23,11:45:10,cuarto,8.121156%,35%,23C
26 02 23,11:50:09,sala,55%,46.30%,22.90C
26 02 23,11:50:09,cuarto,7.973555%,35%,23C
26 02 23,11:55:14,sala,55%,46.60%,22.90C
26 02 23,11:55:14,cuarto,8.022756%,35%,23C
26 02 23,12:00:13,sala,55%,47.00%,23.00C
26 02 23,12:00:13,cuarto,8.071956%,35%,23C
26 02 23,12:05:11,sala,55%,46.90%,23.10C
26 02 23,12:05:11,cuarto,81.84195%,34%,23C
26 02 23,12:10:09,sala,55%,46.40%,23.10C
26 02 23,12:10:09,cuarto,81.59595%,34%,23C
26 02 23,12:15:07,sala,55%,45.90%,23.20C
26 02 23,12:15:07,cuarto,81.54674%,33%,23C
26 02 23,12:20:20,sala,55%,46.70%,23.40C
26 02 23,12:20:20,cuarto,81.69435%,34%,23C
26 02 23,12:25:11,sala,55%,46.20%,23.40C
26 02 23,12:25:11,cuarto,81.20234%,33%,23C
26 02 23,12:30:09,sala,55%,46.50%,23.50C
26 02 23,12:30:09,cuarto,81.30074%,31%,23C
26 02 23,12:35:22,sala,55%,46.20%,23.60C
26 02 23,12:35:22,cuarto,81.25154%,33%,23C
26 02 23,12:40:13,sala,55%,45.60%,23.70C
26 02 23,12:40:13,cuarto,81.54674%,33%,23C
26 02 23,12:45:19,sala,55%,45.10%,23.70C
26 02 23,12:45:19,cuarto,81.84195%,32%,23C
26 02 23,12:50:17,sala,55%,44.30%,23.70C
26 02 23,12:50:17,cuarto,81.94035%,28%,23C
26 02 23,12:55:23,sala,55%,44.50%,23.80C
26 02 23,12:55:23,cuarto,81.74355%,30%,24C
26 02 23,13:00:14,sala,55%,44.80%,23.80C
26 02 23,13:00:14,cuarto,81.69435%,29%,24C
26 02 23,13:05:12,sala,55%,46.00%,23.80C
26 02 23,13:05:12,cuarto,81.54674%,32%,24C
26 02 23,13:10:32,sala,55%,46.40%,23.90C
26 02 23,13:10:32,cuarto,81.69435%,32%,24C
26 02 23,13:15:09,sala,55%,45.80%,23.90C
26 02 23,13:15:09,cuarto,81.84195%,33%,24C
26 02 23,13:20:14,sala,55%,47.80%,23.90C
26 02 23,13:20:14,cuarto,81.94035%,34%,24C
26 02 23,13:25:20,sala,55%,46.70%,24.00C
26 02 23,13:25:20,cuarto,81.84195%,30%,24C
26 02 23,13:30:11,sala,55%,45.40%,24.00C
26 02 23,13:30:11,cuarto,81.49755%,31%,24C
26 02 23,13:35:09,sala,55%,47.90%,24.00C
26 02 23,13:35:09,cuarto,81.89115%,33%,24C
26 02 23,13:40:07,sala,55%,51.20%,24.00C
26 02 23,13:40:07,cuarto,81.94035%,32%,24C
26 02 23,13:45:13,sala,56%,51.90%,24.00C
26 02 23,13:45:13,cuarto,81.84195%,34%,24C
26 02 23,13:50:11,sala,56%,48.50%,24.00C
26 02 23,13:50:11,cuarto,81.49755%,34%,24C
26 02 23,13:55:09,sala,55%,46.10%,24.00C
26 02 23,13:55:09,cuarto,81.79275%,29%,24C
26 02 23,14:00:15,sala,55%,43.30%,24.00C
26 02 23,14:00:15,cuarto,81.84195%,32%,24C
26 02 23,14:05:13,sala,56%,43.30%,24.00C
26 02 23,14:05:13,cuarto,81.84195%,32%,24C
26 02 23,14:10:11,sala,56%,42.80%,24.00C
26 02 23,14:10:11,cuarto,81.84195%,32%,24C
26 02 23,14:15:10,sala,56%,41.40%,23.90C
26 02 23,14:15:10,cuarto,82.18635%,32%,24C
26 02 23,14:20:15,sala,55%,42.50%,24.00C
26 02 23,14:20:15,cuarto,81.84195%,32%,24C
26 02 23,14:25:14,sala,55%,42.70%,24.00C
26 02 23,14:25:14,cuarto,81.84195%,30%,24C
26 02 23,14:30:12,sala,55%,41.40%,24.00C
26 02 23,14:30:12,cuarto,82.13715%,31%,24C
26 02 23,14:35:10,sala,55%,41.00%,24.10C
26 02 23,14:35:10,cuarto,82.08795%,32%,24C
26 02 23,14:40:08,sala,56%,42.90%,24.10C
26 02 23,14:40:08,cuarto,82.18635%,29%,24C
26 02 23,14:45:14,sala,56%,41.50%,24.20C
26 02 23,14:45:14,cuarto,82.03875%,28%,24C
26 02 23,14:50:19,sala,55%,40.20%,24.20C
26 02 23,14:50:19,cuarto,82.28475%,28%,24C
26 02 23,14:55:10,sala,55%,40.10%,24.20C
26 02 23,14:55:10,cuarto,82.28475%,29%,24C
26 02 23,15:00:09,sala,56%,39.70%,24.10C
26 02 23,15:00:09,cuarto,81.89115%,29%,24C
26 02 23,15:05:07,sala,55%,39.70%,24.10C
26 02 23,15:05:07,cuarto,82.33395%,28%,24C
26 02 23,15:10:13,sala,55%,39.50%,24.10C
26 02 23,15:10:13,cuarto,82.13715%,26%,24C
26 02 23,15:15:11,sala,55%,38.40%,24.10C
26 02 23,15:15:11,cuarto,82.08795%,26%,24C
26 02 23,15:20:16,sala,55%,38.60%,24.20C
26 02 23,15:20:16,cuarto,82.13715%,27%,24C
26 02 23,15:25:15,sala,55%,37.90%,24.20C
26 02 23,15:25:15,cuarto,82.13715%,26%,24C
26 02 23,15:30:13,sala,55%,38.00%,24.20C
26 02 23,15:30:13,cuarto,82.48156%,26%,24C
26 02 23,15:35:11,sala,55%,38.20%,24.20C
26 02 23,15:35:11,cuarto,81.94035%,26%,24C
26 02 23,15:40:10,sala,55%,37.50%,24.20C
26 02 23,15:40:10,cuarto,82.18635%,25%,24C
26 02 23,15:45:15,sala,55%,36.70%,24.20C
26 02 23,15:45:15,cuarto,82.28475%,25%,24C
26 02 23,15:50:13,sala,55%,35.60%,24.30C
26 02 23,15:50:13,cuarto,82.33395%,24%,24C
26 02 23,15:55:19,sala,55%,35.50%,24.30C
26 02 23,15:55:19,cuarto,82.08795%,22%,24C
26 02 23,16:00:17,sala,55%,34.80%,24.40C
26 02 23,16:00:17,cuarto,82.57995%,23%,24C
26 02 23,16:05:08,sala,55%,35.30%,24.50C
26 02 23,16:05:08,cuarto,82.18635%,23%,24C
26 02 23,16:10:14,sala,55%,34.10%,24.60C
26 02 23,16:10:14,cuarto,82.38315%,23%,24C
26 02 23,16:15:12,sala,55%,33.70%,24.60C
26 02 23,16:15:12,cuarto,82.48156%,21%,24C
26 02 23,16:15:19,sala,55%,33.60%,24.70C
26 02 23,16:15:19,cuarto,82.08795%,21%,24C
26 02 23,16:15:34,sala,55%,33.70%,24.60C
26 02 23,16:15:34,cuarto,82.48156%,21%,24C
26 02 23,16:15:41,sala,55%,33.80%,24.60C
26 02 23,16:15:41,cuarto,82.33395%,21%,24C
26 02 23,16:15:48,sala,55%,34.00%,24.70C
26 02 23,16:15:48,cuarto,82.28475%,21%,24C
26 02 23,16:15:56,sala,55%,34.10%,24.60C
26 02 23,16:15:56,cuarto,82.13715%,21%,24C
26 02 23,16:16:03,sala,55%,34.20%,24.70C
26 02 23,16:16:03,cuarto,82.13715%,21%,24C
26 02 23,16:16:10,sala,55%,34.30%,24.70C
26 02 23,16:16:10,cuarto,82.62916%,21%,24C
26 02 23,16:16:17,sala,55%,34.30%,24.70C
26 02 23,16:16:17,cuarto,82.13715%,21%,24C
26 02 23,16:16:25,sala,55%,34.40%,24.70C
26 02 23,16:16:25,cuarto,82.43236%,21%,24C
26 02 23,16:16:32,sala,55%,34.40%,24.70C
26 02 23,16:16:32,cuarto,82.33395%,20%,24C
26 02 23,16:16:39,sala,55%,34.40%,24.70C
26 02 23,16:16:39,cuarto,82.57995%,20%,24C
26 02 23,16:16:47,sala,55%,34.30%,24.70C
26 02 23,16:16:47,cuarto,82.38315%,21%,24C
26 02 23,16:16:54,sala,55%,34.20%,24.60C
26 02 23,16:16:54,cuarto,82.48156%,21%,24C
26 02 23,16:17:01,sala,55%,34.10%,24.70C
26 02 23,16:17:01,cuarto,82.53076%,21%,24C
26 02 23,16:17:08,sala,55%,34.20%,24.60C
26 02 23,16:17:08,cuarto,82.53076%,21%,24C
26 02 23,16:17:16,sala,55%,34.50%,24.70C
26 02 23,16:17:16,cuarto,82.23556%,21%,24C
26 02 23,16:17:23,sala,55%,34.40%,24.70C
26 02 23,16:17:23,cuarto,82.23556%,21%,24C
26 02 23,16:17:30,sala,55%,34.30%,24.60C
26 02 23,16:17:30,cuarto,82.48156%,21%,24C
26 02 23,16:17:38,sala,55%,34.40%,24.70C
26 02 23,16:17:38,cuarto,82.13715%,20%,24C
26 02 23,16:17:45,sala,55%,34.30%,24.60C
26 02 23,16:17:45,cuarto,82.38315%,20%,24C
26 02 23,16:17:52,sala,55%,34.30%,24.60C
26 02 23,16:17:52,cuarto,82.18635%,19%,24C
26 02 23,16:17:59,sala,55%,34.10%,24.70C
26 02 23,16:17:59,cuarto,82.28475%,19%,24C
26 02 23,16:18:07,sala,55%,33.90%,24.60C
26 02 23,16:18:07,cuarto,82.18635%,19%,24C
